id,heading,publisher,Firstnations,Women,Children,Racialminorities,Peoplewithdisabilitiesorchronichealthconditions,Unemployedorprecariouslyemployed,Youngpeople,Violence,Work,Criminaljustice,Prejudiceanddiscrimination,Healthcare,Familyrelations,inequality,Shelter,groups,issues
235,IDEALISM IS HATRED IN DISGUISE,News,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,Women;Racialminorities,Violence;Prejudiceanddiscrimination
237,"ONCE AGAIN, BILL MISSES THE MARK",News,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,Racialminorities;Peoplewithdisabilitiesorchronichealthconditions,Prejudiceanddiscrimination
239,Religious freedom bill a nightmare for employers,Fairfax,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Women;Peoplewithdisabilitiesorchronichealthconditions,Prejudiceanddiscrimination
240,Hating women online - a refuge of scoundrels,Fairfax,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,Firstnations;Women,Violence;Criminaljustice;Prejudiceanddiscrimination
244,CALIFORNIA DREAMIN’? MORE AN IDENTITY-QUOTA TERROR,News,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,Women;Racialminorities,Work
245,LEFT’S VIEW SHOWS IT’S TIME FOR ANOTHER LABOR SPLIT,News,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,Racialminorities,Work;Healthcare;inequality
246,"Got a sensible idea for communal harmony? Who cares, we’ve got critical race theory",News,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Firstnations;Racialminorities,Prejudiceanddiscrimination
247,Cutting the roots of family violence,Fairfax,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,Women;Children,Violence;Healthcare;Familyrelations
248,"Dear J.K. Rowling, let's end this toxic 'debate'",Fairfax,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,Women,Violence;Healthcare
249,Women's rights make men worry - and the problem is?,Fairfax,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Women;Youngpeople,inequality
250,Survival or death-by-stupid: your choice Straya,Fairfax,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Firstnations;Women,Violence
251,The benefits of gender equality are more than theoretical,Others,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,Firstnations;Women;Peoplewithdisabilitiesorchronichealthconditions,Work;inequality
253,"Flawed bill is a weapon, not a shield",Fairfax,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Women;Racialminorities,Prejudiceanddiscrimination
254,Bill is likely to backfire on Christians,Fairfax,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,Women;Peoplewithdisabilitiesorchronichealthconditions,Violence;Prejudiceanddiscrimination
