id,heading,publisher,amplifiesdisadvantagedvoice,dispargesdisadvantaged,recognisesintersectionality,provideshumanexamples,focusesonsolutions,firstnations,racialminorities,women,children,youngpeople,unemployedorprecariouslyemployed,peoplewithdisabilitiesorchronichealthconditions,shelter,healthcare_health,familyrelations,violence,voice,work,crime_criminaljustice,inequality,prejudiceanddiscrimination_general
169,BLEAK TIMES BLEAKER STILL FOR THE YOUNG,News Ltd.,0,0,1,1,0.333333333,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
170,BLUE-COLLAR JOBS ARE WORTHY TOO,News Ltd.,0,0,0.5,0,0.666666667,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
171,Compelling story shines a light,News Ltd.,0.666666667,0,0,1,0.333333333,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
172,DEFECTS IN JOBS FOR ALL,News Ltd.,0,0,0.5,0,0.333333333,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
173,EDITOR'S LETTER,News Ltd.,0.833333333,0,0,1,0.333333333,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
174,Fairness is another casualty,News Ltd.,0.5,0,0,0.5,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
175,Flattening curve while not obliterating our economy,News Ltd.,0.166666667,0,0,0,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
176,GOLD-PLATED OPPORTUNITY IN OUR LITIGATION NATION,News Ltd.,0.2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
177,"Great in a crisis, Australia cannot lose it in recovery",News Ltd.,0.333333333,0,0,0,0.333333333,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
178,Herald Sun,News Ltd.,0,0,0,0,0.666666667,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
179,Herald Sun,News Ltd.,0.666666667,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
180,HOW MUCH OF OUR VILLAGE DO WE BURN TO CONTAIN THIS?,News Ltd.,0,0,0.5,0,0.333333333,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
181,IS SOCIAL HOUSING WORTH THE COST?,News Ltd.,0.166666667,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
182,Learning harsh economic lessons during pandemic,News Ltd.,0.166666667,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
183,Lives matter too much to be put at risk by protesters,News Ltd.,0.5,0,1,0.5,0.666666667,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
184,MANAGE RISK FOR SOCIETY’S REWARD,News Ltd.,0,0,0.5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
185,ONLINE CHILD SEX ABUSE SHAMES US,News Ltd.,0.166666667,0,0,0.5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
186,PAYING UP WILL PAY OFF,News Ltd.,0.166666667,0,0,0,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
187,PERHAPS OUR AGED-CARE SYSTEM IS NOT IN SO MUCH CRISIS,News Ltd.,0.166666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
188,STREWTH,News Ltd.,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
189,SUPER CHANCE FOR A POLICY RETHINK,News Ltd.,0.166666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Swans send message with Taylor stance,News Ltd.,0,0,0,0.5,0.666666667,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
191,"The Advertiser A time for answers, not excuses",News Ltd.,0,0,0,0.5,0.666666667,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
192,The Advertiser Celebrate AFLW,News Ltd.,0.333333333,0,0,0.5,0.333333333,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
193,The Advertiser Find the facts to stop more awful deaths,News Ltd.,0,0,0,1,0.666666667,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
194,The Advertiser Human face of terrible abandonment,News Ltd.,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
195,The Advertiser Job figures drive home big challenge,News Ltd.,0,0,0,0,0.333333333,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
196,The Advertiser Never turn a blind eye to violence,News Ltd.,0.5,0,0,0.5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
197,The Advertiser Take positive action to beat hidden crisis,News Ltd.,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
198,THERE’S A CATCH WITH THE EQUAL PAY PITCH,News Ltd.,0.666666667,1,0,0,0.333333333,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
199,Tiny wage is not a good look,News Ltd.,0.333333333,0,1,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
200,TREASURER’S CREDIBILITY JUST WENT BACKWARDS BY $60BN,News Ltd.,0.333333333,0,0.5,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
201,VIOLENCE MESSAGE IS ALL TALK,News Ltd.,0.5,0,0,1,0.666666667,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
202,"Wake up, Australia, there will be no easy snapback",News Ltd.,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
203,A squabble about indigenous identity has brought one of the key participants undone,News Ltd.,0.833333333,0,0,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
204,A voice for First Nations should be beyond the reach of the judiciary,News Ltd.,0.833333333,0,0,0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
205,ABC IGNORES RACE TRUTHS,News Ltd.,0.666666667,1,0,0,0.333333333,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
206,Abuse in WA must be stopped,News Ltd.,1,0.5,1,1,0.666666667,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
207,Activist High Court takes nation into tricky territory,News Ltd.,0.5,0.5,0,0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Activist majority’s alien view of judicial power,News Ltd.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
209,Deadly menace of family violence must be quelled,News Ltd.,1,0,1,1,0.666666667,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0
210,FOOLISH RULING WIDENS INDIGENOUS GAP INTO A CHASM,News Ltd.,0.166666667,0.5,0,0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
211,Footy can take lead from NRL,News Ltd.,0,0,0.5,0.5,0.666666667,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
212,"IF SEPARATISM IS SUCH MISERY, DO WE TRY INTEGRATION?",News Ltd.,0,1,0.5,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
213,Indigenous ready to take initiatives to close the gap,News Ltd.,1,0.5,1,0,0.666666667,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
214,INDIGENOUS VOICE WILL BE HEARD LOUD AND PROUD,News Ltd.,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
215,Just change one word and let us move on to real reform,News Ltd.,0.333333333,1,0,0,0.333333333,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
216,LEFT IS FIGHTING TO CONTROL OUR HIGH COURT,News Ltd.,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
217,LET’S NEVER CONCEDE TO THE MORAL MATRIX OF THE TRIBE,News Ltd.,0,1,0.5,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
218,LET’S SLASH INDIGENOUS SENTENCES BY A QUARTER,News Ltd.,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
219,LET’S WORK FOR INDIGENOUS JOBS,News Ltd.,0.333333333,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
220,Looking out for the most vulnerable in community,News Ltd.,0.75,0,0.5,0.5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
221,Prison stems from disadvantage and entrenches it,News Ltd.,0.166666667,0,1,1,0.666666667,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
222,Reopening schools a milestone,News Ltd.,0.166666667,0,0.5,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
223,Rio cops fallout of caves error,News Ltd.,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,The Advertiser Sign of the times,News Ltd.,0.666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,THIS IS THE LAW I KNOW,News Ltd.,1,1,0.5,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
226,TIDE TURNS ON WAVE OF ALCOHOL-BASED ABUSE WHEN ACCESS IS RESTRICTED,News Ltd.,1,0,1,1,0.666666667,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
227,TRUTH IS KEPT LOCKED UP,News Ltd.,0.5,1,0.5,1,0.333333333,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
228,U.S. BURNS BUT WE JUST TURN AWAY,News Ltd.,0.166666667,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
229,WE NEED TO TURN OUR RESEARCH EYES TOWARD HOME MUCH MORE OFTEN,News Ltd.,0.333333333,0,0,0,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,WHERE ARE ALL THE DOLLARS STOLEN FROM ABORIGINES?,News Ltd.,0.833333333,0,0,0.5,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
231,WHY DROP THE BALL ON OUR KEY INDIGENOUS TARGETS?,News Ltd.,0.5,0.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
232,Bloody past still unresolved,West Australian Newspapers Limited,0.5,0.5,0,0.5,0.333333333,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
233,Diversity is not a priority,News Ltd.,0,1,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,No reason to go soft on hate,Fairfax Media Management Pty Limited,0.666666667,1,0,0,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
235,We need to stop being bystanders,Fairfax Media Management Pty Limited,1,0,0.5,0.5,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
236,IDEALISM IS HATRED IN DISGUISE,News Ltd.,0.5,1,0.5,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
237,"In grim times, we need all our wits, not word games",News Ltd.,0.666666667,0,0.5,0,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,"ONCE AGAIN, BILL MISSES THE MARK",News Ltd.,0,0,0.5,0,0.333333333,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
239,Populate and perish? At last Australia stands up to those migrants we just don’t need,News Ltd.,0.5,1,0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
240,Religious freedom bill a nightmare for employers,Fairfax Media Management Pty Limited,0,0,0.5,0.5,0.333333333,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
241,Hating women online - a refuge of scoundrels,Fairfax Media Management Pty Limited,1,0,1,1,0.666666667,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
242,Young Australians taking a hard look at political world,Fairfax Media Management Pty Limited,1,0,0.5,0.5,0.333333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
243,Taxpayer-funded priests - should that really be allowed?,Federal Capital Press of Australia Pty Ltd,0.333333333,0,0,0.5,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
244,ALBO AND LABOR IN A CORNER,News Ltd.,0.166666667,0.5,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,CALIFORNIA DREAMIN’? MORE AN IDENTITY-QUOTA TERROR,News Ltd.,0.333333333,0.5,0.5,0,0.333333333,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
246,LEFT’S VIEW SHOWS IT’S TIME FOR ANOTHER LABOR SPLIT,News Ltd.,0.5,0.5,0.5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
247,"Got a sensible idea for communal harmony? Who cares, we’ve got critical race theory",News Ltd.,0.333333333,0,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
248,Cutting the roots of family violence,Fairfax Media Management Pty Limited,0.166666667,0.5,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0
249,"Dear J.K. Rowling, let's end this toxic 'debate'",Fairfax Media Management Pty Limited,0.5,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
250,Women's rights make men worry - and the problem is?,Fairfax Media Management Pty Limited,0.666666667,0.5,0.5,1,0.333333333,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
251,Survival or death-by-stupid: your choice Straya,Fairfax Media Management Pty Limited,0.5,0,0.5,0,0.333333333,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
252,The benefits of gender equality are more than theoretical,Federal Capital Press of Australia Pty Ltd,0.833333333,0,1,0.5,0.666666667,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
253,They’re all getting in on the act,News Ltd.,0.666666667,1,0.5,0.5,0.333333333,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
254,"Flawed bill is a weapon, not a shield",Fairfax Media Management Pty Limited,0,0,0.5,0,0.333333333,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
255,Bill is likely to backfire on Christians,Fairfax Media Management Pty Limited,0,0,0.5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
